 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
80.5023,16.3671,74.8209,17.3881,74.5582,20.5186,80.2341,21.3735,2.46971802,2.673200293,19.99998533,14.77730379,7.06473166,3.015061011,4.999999902,45,2.727652
80.9053,16.107,75.2244,17.2521,74.9624,20.4704,80.6386,21.3403,2.451246975,2.683291663,19.99996192,14.69056705,7.359537741,2.815395451,4.999999196,45,2.68854
81.3081,15.8223,75.6279,17.1084,75.3667,20.4196,81.0433,21.3039,2.068677334,2.840928348,19.99999993,14.76663115,7.026753475,3.297009978,4.999999783,45,2.57632
81.7106,15.5105,76.0311,16.9573,75.7707,20.3667,81.4478,21.2645,4.498950164,4.41692729,20,11.87750924,6.373146907,2.833466433,4.999999971,45,2.346147
82.1127,15.1674,76.4342,16.797,76.1748,20.3107,81.8523,21.2218,2.802887972,2.613470396,19.99999827,13.97269252,7.624352881,2.986600254,4.99999771,45,2.187521
82.5144,14.7881,76.8371,16.6277,76.5787,20.252,82.2567,21.1751,2.617048297,2.425397726,19.99999787,13.651013,8.28377481,3.022778325,4.999989979,45,2.001505
82.9158,14.3658,77.2398,16.4475,76.9825,20.1897,82.661,21.1235,2.188143088,2.286205447,19.99999536,13.32500035,9.187435106,3.013220789,4.999999869,45,1.821849
83.3167,13.8923,77.6424,16.2553,77.3864,20.1231,83.0654,21.0657,6.782587178,6.008638665,19.99999999,9.301260599,5.887986662,2.019528633,4.999998268,45,1.687907
83.717,13.3586,78.0447,16.0506,77.7902,20.0526,83.4697,21.0008,1.524769209,1.763926872,19.99990236,13.18300283,10.06204691,3.46635702,4.9999948,45,1.628767
84.1166,12.7533,78.4468,15.8322,78.1939,19.9779,83.874,20.9283,2.486085085,14.89332899,19.9901066,4.642584946,5.000507715,2.987511884,4.999874782,45,1.561428
84.5154,12.0609,78.8487,15.5983,78.5975,19.8982,84.2781,20.8467,1.209674322,1.197122837,19.99999868,13.34785323,9.048831327,5.196524827,4.999994778,45,1.572942
84.9132,11.2597,79.2503,15.3468,79.0011,19.8125,84.6822,20.7523,1.762623359,1.396807876,19.99999924,14.12357486,8.45055147,4.266443818,4.999999377,45,1.531509
85.3099,10.3227,79.6516,15.0764,79.4046,19.721,85.0863,20.6425,3.148960387,3.730019552,19.99996142,11.48595859,8.017979882,3.61712032,4.999999853,45,1.416223
85.705,9.2135,80.0526,14.7844,79.808,19.6225,85.4904,20.5139,3.024391636,1.609574445,19.99999647,13.96392755,6.315859071,5.086251059,4.999999773,45,1.459258
86.0981,7.8834,80.4534,14.4678,80.2114,19.516,85.8943,20.3626,1.720432423,2.570193567,19.99991946,15.53401927,6.136910567,4.038525909,4.999998804,45,1.468397
86.4886,6.2553,80.8537,14.1239,80.6146,19.4007,86.2981,20.1774,2.858192863,4.903122044,19.99999085,14.02270267,5.000053301,3.215943423,4.999994845,45,1.508845
86.8754,4.2218,81.2536,13.749,81.0178,19.2755,86.7019,19.9469,2.46791209,4.453323368,19.99997448,15.57828368,5.000000016,2.500507475,4.99999889,45,1.62973
87.2572,1.6211,81.653,13.3387,81.4208,19.1392,87.1055,19.6546,2.161654379,3.970817644,19.99997834,15.91010022,5.000044794,2.957405608,4.999999016,45,1.737431
87.6316,-1.8149,82.0519,12.8874,81.8238,18.9896,87.5091,19.2648,1.807173804,2.703100501,19.99999573,18.36883725,5.000005445,2.120887818,4.999999453,45,1.88924
